2021-01-28.20:39:43	26.56	100
2021-01-28.20:39:43	20.01	100
2021-01-28.20:39:43	30.24	100
2021-01-28.20:39:43	31.38	100
2021-01-28.20:39:43	36.14	100
2021-01-28.20:39:43	29.5	100
2021-01-28.20:39:43	30.82	100
2021-01-28.20:39:43	28.15	100
2021-01-28.20:39:44	35.68	100
2021-01-28.20:39:44	41.67	100
2021-01-28.20:39:44	36.43	100
2021-01-28.20:39:44	32.3	100
2021-01-28.20:39:44	26.84	100
2021-01-28.20:39:44	23.52	100
2021-01-28.20:39:44	25.13	100
2021-01-28.20:39:44	19.27	100
2021-01-28.20:39:44	27.91	100
2021-01-28.20:39:44	31.38	100
2021-01-28.20:39:45	37.88	100
2021-01-28.20:39:45	36.68	100
2021-01-28.20:39:45	40.91	100
2021-01-28.20:39:45	36.67	100
2021-01-28.20:39:45	27	100
2021-01-28.20:39:45	36.09	100
2021-01-28.20:39:45	40.08	100
2021-01-28.20:39:45	34.73	100
2021-01-28.20:39:45	39.29	100
2021-01-28.20:39:46	29.21	100
2021-01-28.20:39:46	32.7	100
2021-01-28.20:39:46	38.19	100
2021-01-28.20:39:46	31.81	100
2021-01-28.20:39:46	31.91	100
2021-01-28.20:39:46	39.05	100
2021-01-28.20:39:46	30.05	100
2021-01-28.20:39:46	22.29	100
2021-01-28.20:39:46	27.89	100
2021-01-28.20:39:46	19.58	100
2021-01-28.20:39:47	25.14	100
2021-01-28.20:39:47	29.61	100
2021-01-28.20:39:47	29.91	100
2021-01-28.20:39:47	23.61	100
2021-01-28.20:39:47	17.2	100
2021-01-28.20:39:47	21.18	100
2021-01-28.20:39:47	21.72	100
2021-01-28.20:39:47	32.36	100
2021-01-28.20:39:47	33.6	100
2021-01-28.20:39:47	32.1	100
2021-01-28.20:39:48	35.45	100
2021-01-28.20:39:48	29.01	100
2021-01-28.20:39:48	37.95	100
2021-01-28.20:39:48	42.86	100
2021-01-28.20:39:48	42.57	100
2021-01-28.20:39:48	36.87	100
2021-01-29.15:37:54	11.59	100
2021-01-29.15:37:54	17.99	100
2021-01-29.15:37:54	18.16	100
2021-01-29.15:37:54	18.99	100
2021-01-29.15:37:55	19.19	100
2021-01-29.15:37:55	21.57	100
2021-01-29.15:37:55	30.93	100
2021-01-29.15:37:55	28.42	100
2021-01-29.15:37:55	26.97	100
2021-01-29.15:37:55	19.97	100
2021-01-29.15:37:55	27.32	100
2021-01-29.15:37:55	37.31	100
2021-01-29.15:37:55	35.95	100
2021-01-29.15:37:55	32.61	100
2021-01-29.15:37:56	37.99	100
2021-01-29.15:37:56	38.11	100
2021-01-29.15:37:56	44.82	100
2021-01-29.15:37:56	43.88	100
2021-01-29.15:37:56	35.67	100
2021-01-29.15:37:56	34.63	100
2021-01-29.15:37:56	31.87	100
2021-01-29.15:37:56	22.69	100
2021-01-29.15:37:56	17.43	100
2021-01-29.15:37:56	14.21	100
2021-01-29.15:37:57	19.5	100
2021-01-29.15:37:57	13.69	100
2021-01-29.15:37:57	24.19	100
2021-01-29.15:37:57	32.86	100
2021-01-29.15:37:57	38.05	100
2021-01-29.15:37:57	35.11	100
2021-01-29.15:37:57	41.24	100
2021-01-29.15:37:57	47.39	100
2021-01-29.15:37:57	44.67	100
2021-01-29.15:37:57	46.65	100
2021-01-29.15:37:58	38.86	100
2021-01-29.15:37:58	44.59	100
2021-01-29.15:37:58	36.13	100
2021-01-29.15:37:58	40.48	100
2021-01-29.15:37:58	45.64	100
2021-01-29.15:37:58	37.08	100
2021-01-29.15:37:58	42.24	100
2021-01-29.15:37:58	41.62	100
2021-01-29.15:37:58	33.85	100
2021-01-29.15:37:58	24.37	100
2021-01-29.15:37:59	29.69	100
2021-01-29.15:37:59	33.81	100
2021-01-29.15:37:59	29.01	100
2021-01-29.15:37:59	32.49	100
2021-01-29.15:37:59	22.82	100
2021-01-29.15:37:59	26.27	100
2021-01-29.15:37:59	33.39	100
2021-01-29.15:37:59	31.07	100
2021-01-29.15:37:59	25.58	100
2021-01-29.15:37:59	34.45	100
2021-01-29.15:38:00	33.82	100
2021-01-29.15:38:00	37.05	100
2021-01-29.15:38:00	35.68	100
2021-01-29.15:38:00	42.43	100
2021-01-29.15:38:00	33.56	100
2021-01-29.15:38:00	29.68	100
2021-01-29.15:38:00	21.26	100
2021-01-29.15:38:00	28.54	100
2021-01-29.15:38:00	26.1	100
2021-01-29.15:38:00	30.25	100
2021-01-29.15:38:01	31.61	100
2021-01-29.15:38:01	27.6	100
2021-01-29.15:38:01	23.24	100
2021-01-29.15:38:01	31.62	100
2021-01-29.15:38:01	35.94	100
2021-01-29.15:38:01	27.79	100
2021-01-29.15:38:01	21.33	100
2021-01-29.15:38:01	19.58	100
2021-01-29.15:38:01	21.53	100
2021-01-29.15:38:01	33.42	100
2021-01-29.15:38:02	28.71	100
2021-01-29.15:38:02	21.96	100
2021-01-29.15:38:02	21.29	100
2021-01-29.15:38:02	25.57	100
2021-01-29.15:38:02	25.09	100
2021-01-29.15:38:02	23.56	100
2021-01-29.15:38:02	30.6	100
2021-01-29.15:38:02	25.01	100
2021-01-29.15:38:02	31.21	100
2021-01-29.15:38:02	39.78	100
2021-01-29.15:38:03	41.13	100
2021-01-29.15:38:03	45.35	100
2021-01-29.15:38:03	37.6	100
2021-01-29.15:38:03	30.75	100
2021-01-29.15:38:03	30.09	100
2021-01-29.15:38:03	23.92	100
2021-01-29.15:38:03	20.52	100
2021-01-29.15:38:03	23.41	100
2021-01-29.15:38:03	32.91	100
2021-01-29.15:38:03	26.07	100
2021-01-29.15:38:04	20.68	100
2021-01-29.15:38:04	15.98	100
2021-01-29.15:38:04	19.7	100
2021-01-29.15:38:04	31.89	100
2021-01-29.15:38:04	39.18	100
2021-01-29.15:38:04	42.9	100
2021-01-30.09:44:00	26.18	100
2021-01-30.09:44:00	36.82	100
2021-01-30.09:44:00	35.12	100
2021-01-30.09:44:00	39.78	100
2021-01-30.09:44:01	42.25	100
2021-01-30.09:44:01	30.42	100
2021-01-30.09:44:01	36.83	100
